name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
united kingdom,10/25/2022,62.9,52.4,57.4,62.9,52.4,57.4,52.9,85.2,0,14.3,0,rain,0,0,24.2,9.6,193.9,1011,74.3,6.9,37.9,3.3,2,10,2022-10-25T07:41:31,2022-10-25T17:46:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
united kingdom,10/26/2022,65.6,58.6,61.3,65.6,58.6,61.3,55.7,82.4,0.01,19,4.17,rain,0,0,34.4,14.8,200.2,1011,75.1,15,85.6,7.4,4,10,2022-10-26T07:43:16,2022-10-26T17:44:53,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,10/27/2022,66.6,59.3,61.8,66.6,59.3,61.8,58.1,87.8,0.1,19,4.17,rain,0,0,30.2,11.2,175.2,1015,86.8,15,28,2.4,1,10,2022-10-27T07:45:02,2022-10-27T17:42:57,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,10/28/2022,64.8,53.9,60.9,64.8,53.9,60.9,54.6,80.2,0,19,0,,0,0,32.7,13.6,207.3,1015.5,90.5,15,53.3,4.6,2,10,2022-10-28T07:46:47,2022-10-28T17:41:02,0.06,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,10/29/2022,66.1,53.5,60.4,66.1,53.5,60.4,55.9,85.4,0.42,42.9,8.33,rain,0,0,28,12.1,171.6,1014,98.7,14.5,62.3,5.3,3,10,2022-10-29T07:48:33,2022-10-29T17:39:08,0.1,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,10/30/2022,64.1,58.6,61.1,64.1,58.6,61.1,55.4,82.3,0.35,42.9,16.67,rain,0,0,17,8.9,222.6,1013.7,99.9,15,58.2,5.3,2,10,2022-10-30T06:50:18,2022-10-30T16:37:16,0.14,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,10/31/2022,62.1,56.7,58.8,62.1,56.7,58.8,53.7,83.5,0.11,42.9,12.5,rain,0,0,13.4,6.3,83.2,1017,95.1,14.5,73.1,6.2,3,10,2022-10-31T06:52:04,2022-10-31T16:35:25,0.21,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,11/1/2022,62.9,54.8,58.5,62.9,54.8,58.5,52.8,81.5,0,38.1,0,,0,0,25.3,9.8,170.4,1012.9,56.4,15,53.9,4.5,2,10,2022-11-01T06:53:50,2022-11-01T16:33:36,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,11/2/2022,61.1,54.4,58.6,61.1,54.4,58.6,52.4,79.8,0.21,42.9,20.83,rain,0,0,42.3,24.8,192.1,1001.8,91.9,12.7,42,3.6,2,10,2022-11-02T06:55:36,2022-11-02T16:31:48,0.32,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,11/3/2022,59.3,51.2,55,59.3,51.2,55,47.4,75.7,0.15,33.3,16.67,rain,0,0,36.2,17.9,213.7,1009.2,92.3,14,40.6,3.8,2,10,2022-11-03T06:57:23,2022-11-03T16:30:02,0.37,Overcast,Cloudy skies throughout the day.,cloudy,
